"Marker-Feature","Cluster 0","Cluster 1","Cluster 2","Cluster 3","Cluster 4","Cluster 5","Cluster 6","Cluster 7","Cluster 8","Cluster 9","Cluster 10","Cluster 11"
"Cdc11 Area","1.49132782658316","1.75020705224559","-0.192888686566658","-0.103599073783674","-0.0767795638605373","0.00721712619497616","-0.611808839258642","1.42101681236596","0.259878780256619","1.66275875670864","0.237765168741545","-0.393529037388339"
"Cdc11 Perimeter","1.3316566045309","1.31039868735257","-0.383497042791295","-0.336483486167422","-0.309269257912879","-0.169738825266614","-0.71873872063394","0.949426930693518","-0.0979280108956369","1.34707604018115","-0.0281480728617024","-0.505638480492037"
"Om45 Area","-0.31809800950103","1.5312490032918","-0.0874308957719303","-0.199134004446403","-0.375636625746141","0.813132181289839","-0.188905635537925","-0.13973420901851","1.08320005695678","1.37182086824984","-0.00926616677157579","-0.264708533311246"
"Om45 Perimeter","-0.50436856496841","1.25663697736986","-0.361559352293839","-0.317894719633813","-0.508516591800749","0.445961899909717","-0.414945034331526","-0.387839996670119","0.850927127523628","1.13763540901949","-0.242838919018112","-0.426784664080859"
"Sec21 Area","-0.0327667573751671","0.0602295335299203","0.370975007129774","1.38612833809271","0.874185838237067","-0.0474680887947157","0.450844671532658","0.108363671048432","0.0685657900113801","0.0879011399575515",NA,NA
"Sec21 Perimeter","-0.239996956084748","-0.081892427795867","0.135694380839875","0.644184155284678","0.628931160724362","-0.237935098037274","0.281228120195194","-0.010314136670709","-0.0444429366609842","-0.000814072200247407",NA,NA
"Spf1 Area","0.686161864509069","-0.206228930971116","-0.253973148805972","-0.692066634024407","1.70252842982812","0.470606274781408","0.163053966990903","1.01486143448737","0.324755656625549","0.379962136275885","0.904930833736989","-0.081037857393683"
"Spf1 Perimeter","0.556705522899535","-0.38718490999118","-0.347790829405658","-0.627095097817662","1.19164637302164","0.282420576223648","-0.0608065711227329","0.743966792183408","-0.0157544221701388","0.234840716473585","0.635493518970615","-0.265670596105766"
"Vph1 Area","0.655045200647312","0.424207299719208","1.08206600002631","-0.093637523031812","-0.211536311311874","0.378211256505691","-0.50309380471609","-0.0138468202330758","1.66314517461712","-0.320287577533083","-0.259990236146482","1.3602733457727"
"Vph1 Perimeter","0.728949926451184","0.355107557124295","1.04230752465689","-0.153847908612077","-0.337635024562511","0.224961404138117","-0.557265665455873","-0.100431594861582","1.26736020190263","-0.473862854686961","-0.194142342948194","1.23434554409337"
